filename,width,height,class,xmin,ymin,xmax,ymax
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Footer notes,147,3502,699,3558
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Footer notes,2016,3499,2382,3561
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Footer notes,2413,3502,3189,4037
0_8089.pdf.jpg,3306,4678,Seller details,721,90,2613,396
0_8089.pdf.jpg,3306,4678,Invoice number,379,713,1007,773
0_8089.pdf.jpg,3306,4678,Buyer details,168,923,1060,1315
0_8089.pdf.jpg,3306,4678,Shipped details,1550,921,2508,1315
0_8089.pdf.jpg,3306,4678,Invoice table,149,1336,2726,3026
0_8089.pdf.jpg,3306,4678,Invoice column,163,1349,258,3013
0_8089.pdf.jpg,3306,4678,Invoice column,268,1344,1007,3026
0_8089.pdf.jpg,3306,4678,Invoice column,1020,1344,1250,3008
0_8089.pdf.jpg,3306,4678,Invoice column,1271,1346,1415,3010
0_8089.pdf.jpg,3306,4678,Invoice column,1430,1346,1761,3005
0_8089.pdf.jpg,3306,4678,Invoice column,1771,1341,1943,3005
0_8089.pdf.jpg,3306,4678,Invoice column,1956,1336,2127,3000
0_8089.pdf.jpg,3306,4678,Invoice column,2138,1344,2317,3000
0_8089.pdf.jpg,3306,4678,Invoice column,2338,1346,2727,3013
0_8089.pdf.jpg,3306,4678,Footer notes,235,3038,1671,3103
0_8089.pdf.jpg,3306,4678,Footer notes,220,3185,2304,3741
0_8089.pdf.jpg,3306,4678,Invoice date,193,767,1063,818
0_AlliedFoodService.pdf.jpg,3311,4678,Seller details,745,10,3050,338
0_AlliedFoodService.pdf.jpg,3311,4678,Buyer details,227,454,1396,1069
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice number,2200,728,2923,803
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice table,204,1346,3155,3223
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice column,217,1346,391,3128
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice column,427,1349,1691,3121
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice column,1768,1364,2075,3185
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice column,2101,1354,2463,3177
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice column,2481,1359,2868,3190
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice column,2886,1369,3142,3192
0_AlliedFoodService.pdf.jpg,3311,4678,Invoice date,2201,815,2835,882
0_AlliedFoodService.pdf.jpg,3311,4678,Footer notes,1333,3213,2985,3316
0_AlliedFoodService.pdf.jpg,3311,4678,Footer notes,209,3465,2250,3644
0_AlliedFoodService.pdf.jpg,3311,4678,Footer notes,1823,4199,3047,4347
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Seller details,506,248,1857,622
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Buyer details,161,837,884,1320
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice number,1955,763,2844,835
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice table,65,1361,3234,2586
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice column,122,1376,263,2550
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice column,286,1373,973,2553
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice column,2073,1376,2303,2555
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice column,2393,1381,2670,2566
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice column,2814,1378,3160,2566
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Footer notes,148,3007,2460,3703
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Footer notes,84,2596,1763,2673
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Invoice date,1955,1135,2496,1202
0_ASIAAEROTECHNIC_SDN_BHD.pdf.jpg,3306,4676,Footer notes,1944,2602,3093,2996
0_Classic_Coffee.pdf.jpg,3311,4678,Seller details,868,338,2799,841
0_Classic_Coffee.pdf.jpg,3311,4678,Buyer details,161,1042,1268,1805
0_Classic_Coffee.pdf.jpg,3311,4678,Shipped details,1803,1068,2634,1800
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice number,155,1854,886,1947
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice date,1024,1858,1627,1951
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice table,127,1954,3122,3695
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice column,137,1979,473,3669
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice column,665,1979,1919,3677
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice column,2032,1992,2217,3674
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice column,2240,1990,2475,3677
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice column,2504,1990,2799,3672
0_Classic_Coffee.pdf.jpg,3311,4678,Invoice column,2837,1990,3111,3674
0_Classic_Coffee.pdf.jpg,3311,4678,Footer notes,153,3713,434,3805
0_Classic_Coffee.pdf.jpg,3311,4678,Footer notes,686,3706,1741,3999
0_Classic_Coffee.pdf.jpg,3311,4678,Footer notes,684,4094,1931,4247
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Seller details,507,250,1866,632
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Buyer details,161,827,882,1319
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice number,1942,768,2863,835
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice table,47,1350,3247,2584
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice column,127,1373,256,2561
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice column,281,1366,1171,2573
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice column,2053,1363,2363,2568
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice column,2381,1355,2730,2576
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice column,2776,1371,3212,2573
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Footer notes,91,2589,1771,2671
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Footer notes,1951,2599,3093,2994
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Invoice date,1937,1133,2507,1204
0_FIN-INV-2020-06-003.pdf.jpg,3306,4676,Footer notes,140,3006,2451,3697
0_IN16271.pdf.jpg,3400,4400,Seller details,180,600,1080,1025
0_IN16271.pdf.jpg,3400,4400,Buyer details,185,1120,1126,1500
0_IN16271.pdf.jpg,3400,4400,Shipped details,1678,1115,2623,1497
0_IN16271.pdf.jpg,3400,4400,Invoice date,2895,598,3218,683
0_IN16271.pdf.jpg,3400,4400,Invoice table,185,1748,3233,2193
0_IN16271.pdf.jpg,3400,4400,Invoice column,286,1780,499,2180
0_IN16271.pdf.jpg,3400,4400,Invoice column,596,1775,2188,2177
0_IN16271.pdf.jpg,3400,4400,Invoice column,2379,1773,2683,2177
0_IN16271.pdf.jpg,3400,4400,Invoice column,2896,1773,3220,2177
0_IN16271.pdf.jpg,3400,4400,Footer notes,188,2893,1393,3180
0_IN16271.pdf.jpg,3400,4400,Invoice number,2852,443,3206,551
0_IN16271.pdf.jpg,3400,4400,Footer notes,2346,2253,3179,2820
0_Inv 54.pdf.jpg,3306,4672,Seller details,202,271,1093,692
0_Inv 54.pdf.jpg,3306,4672,Buyer details,204,718,1383,1118
0_Inv 54.pdf.jpg,3306,4672,Invoice number,1509,271,1768,392
0_Inv 54.pdf.jpg,3306,4672,Invoice date,2148,271,2438,397
0_Inv 54.pdf.jpg,3306,4672,Invoice table,183,1533,2809,2504
0_Inv 54.pdf.jpg,3306,4672,Invoice column,194,1546,272,2494
0_Inv 54.pdf.jpg,3306,4672,Invoice column,268,1541,1354,2500
0_Inv 54.pdf.jpg,3306,4672,Invoice column,1356,1546,1650,2495
0_Inv 54.pdf.jpg,3306,4672,Invoice column,1644,1541,1940,2498
0_Inv 54.pdf.jpg,3306,4672,Invoice column,1938,1538,2242,2494
0_Inv 54.pdf.jpg,3306,4672,Invoice column,2243,1541,2360,2494
0_Inv 54.pdf.jpg,3306,4672,Invoice column,2360,1546,2797,2496
0_Inv 54.pdf.jpg,3306,4672,Footer notes,204,2506,1454,2655
0_Inv 54.pdf.jpg,3306,4672,Tax table,193,2655,2801,3035
0_Inv 54.pdf.jpg,3306,4672,Tax column,197,2661,1066,3027
0_Inv 54.pdf.jpg,3306,4672,Tax column,1062,2659,1389,3031
0_Inv 54.pdf.jpg,3306,4672,Tax column,1393,2737,1601,3035
0_Inv 54.pdf.jpg,3306,4672,Tax column,1599,2736,1930,3027
0_Inv 54.pdf.jpg,3306,4672,Tax column,1926,2744,2130,3029
0_Inv 54.pdf.jpg,3306,4672,Tax column,2135,2733,2460,3024
0_Inv 54.pdf.jpg,3306,4672,Tax column,2460,2659,2799,3031
0_Inv 54.pdf.jpg,3306,4672,Footer notes,207,3059,1805,3133
0_Inv 54.pdf.jpg,3306,4672,Footer notes,199,3176,1299,3783
0_Inv 55.pdf.jpg,3306,4672,Seller details,200,272,1070,700
0_Inv 55.pdf.jpg,3306,4672,Buyer details,206,715,1404,1144
0_Inv 55.pdf.jpg,3306,4672,Invoice number,1514,277,1752,392
0_Inv 55.pdf.jpg,3306,4672,Invoice date,2144,274,2437,392
0_Inv 55.pdf.jpg,3306,4672,Invoice table,183,1536,2808,2692
0_Inv 55.pdf.jpg,3306,4672,Invoice column,201,1544,278,2687
0_Inv 55.pdf.jpg,3306,4672,Invoice column,278,1541,1349,2679
0_Inv 55.pdf.jpg,3306,4672,Invoice column,1350,1541,1649,2682
0_Inv 55.pdf.jpg,3306,4672,Invoice column,1649,1551,1939,2682
0_Inv 55.pdf.jpg,3306,4672,Invoice column,1939,1549,2244,2682
0_Inv 55.pdf.jpg,3306,4672,Invoice column,2248,1549,2362,2679
0_Inv 55.pdf.jpg,3306,4672,Invoice column,2362,1546,2798,2679
0_Inv 56.pdf.jpg,3306,4672,Seller details,201,272,1075,703
0_Inv 56.pdf.jpg,3306,4672,Buyer details,202,715,1380,1118
0_Inv 56.pdf.jpg,3306,4672,Invoice number,1508,277,1757,395
0_Inv 56.pdf.jpg,3306,4672,Invoice date,2147,274,2437,395
0_Inv 56.pdf.jpg,3306,4672,Invoice table,185,1533,2819,2692
0_Inv 56.pdf.jpg,3306,4672,Invoice column,201,1533,268,2676
0_Inv 56.pdf.jpg,3306,4672,Invoice column,267,1544,1350,2685
0_Inv 56.pdf.jpg,3306,4672,Invoice column,1344,1538,1642,2685
0_Inv 56.pdf.jpg,3306,4672,Invoice column,1647,1541,1940,2685
0_Inv 56.pdf.jpg,3306,4672,Invoice column,1944,1538,2238,2682
0_Inv 56.pdf.jpg,3306,4672,Invoice column,2239,1541,2370,2677
0_Inv 56.pdf.jpg,3306,4672,Invoice column,2365,1541,2801,2679
0_Inv 57.pdf.jpg,3306,4672,Seller details,202,276,1077,695
0_Inv 57.pdf.jpg,3306,4672,Buyer details,207,716,1384,1129
0_Inv 57.pdf.jpg,3306,4672,Invoice number,1509,273,1752,392
0_Inv 57.pdf.jpg,3306,4672,Invoice date,2150,267,2460,392
0_Inv 57.pdf.jpg,3306,4672,Invoice table,187,1531,2813,2437
0_Inv 57.pdf.jpg,3306,4672,Invoice column,201,1542,270,2427
0_Inv 57.pdf.jpg,3306,4672,Invoice column,273,1546,1358,2427
0_Inv 57.pdf.jpg,3306,4672,Invoice column,1356,1541,1648,2427
0_Inv 57.pdf.jpg,3306,4672,Invoice column,1646,1538,1942,2427
0_Inv 57.pdf.jpg,3306,4672,Invoice column,1938,1546,2230,2431
0_Inv 57.pdf.jpg,3306,4672,Invoice column,2230,1545,2362,2427
0_Inv 57.pdf.jpg,3306,4672,Invoice column,2364,1541,2803,2431
0_Inv 57.pdf.jpg,3306,4672,Footer notes,204,2428,1509,2592
0_Inv 57.pdf.jpg,3306,4672,Tax table,185,2584,2809,3035
0_Inv 57.pdf.jpg,3306,4672,Tax column,201,2596,1063,3026
0_Inv 57.pdf.jpg,3306,4672,Tax column,1056,2592,1393,3033
0_Inv 57.pdf.jpg,3306,4672,Tax column,1389,2674,1603,3029
0_Inv 57.pdf.jpg,3306,4672,Tax column,1603,2669,1926,3022
0_Inv 57.pdf.jpg,3306,4672,Tax column,1930,2671,2128,3029
0_Inv 57.pdf.jpg,3306,4672,Tax column,2132,2671,2458,3027
0_Inv 57.pdf.jpg,3306,4672,Tax column,2456,2597,2807,3027
0_Inv 57.pdf.jpg,3306,4672,Footer notes,197,3059,1660,3133
0_Inv 57.pdf.jpg,3306,4672,Footer notes,207,3176,1360,3782
0_Inv 59.pdf.jpg,3306,4672,Seller details,209,259,1081,692
0_Inv 59.pdf.jpg,3306,4672,Buyer details,207,712,1379,1121
0_Inv 59.pdf.jpg,3306,4672,Invoice number,1509,273,1754,398
0_Inv 59.pdf.jpg,3306,4672,Invoice date,2156,271,2466,394
0_Inv 59.pdf.jpg,3306,4672,Invoice table,183,1531,2811,2576
0_Inv 59.pdf.jpg,3306,4672,Invoice column,194,1544,270,2563
0_Inv 59.pdf.jpg,3306,4672,Invoice column,271,1544,1358,2556
0_Inv 59.pdf.jpg,3306,4672,Invoice column,1358,1538,1652,2561
0_Inv 59.pdf.jpg,3306,4672,Invoice column,1644,1543,1948,2561
0_Inv 59.pdf.jpg,3306,4672,Invoice column,1944,1543,2242,2561
0_Inv 59.pdf.jpg,3306,4672,Invoice column,2236,1539,2360,2559
0_Inv 59.pdf.jpg,3306,4672,Invoice column,2360,1544,2794,2563
0_Inv 59.pdf.jpg,3306,4672,Footer notes,194,2572,1581,2723
0_Inv 59.pdf.jpg,3306,4672,Tax table,187,2710,2813,3043
0_Inv 59.pdf.jpg,3306,4672,Tax column,197,2731,1061,3031
0_Inv 59.pdf.jpg,3306,4672,Tax column,1058,2724,1391,3027
0_Inv 59.pdf.jpg,3306,4672,Tax column,1393,2802,1595,3029
0_Inv 59.pdf.jpg,3306,4672,Tax column,1601,2803,1922,3031
0_Inv 59.pdf.jpg,3306,4672,Tax column,1923,2803,2125,3027
0_Inv 59.pdf.jpg,3306,4672,Tax column,2130,2805,2460,3027
0_Inv 59.pdf.jpg,3306,4672,Tax column,2456,2731,2799,3031
0_Inv 59.pdf.jpg,3306,4672,Footer notes,217,3062,2004,3146
0_Inv 59.pdf.jpg,3306,4672,Footer notes,209,3172,1297,3785
0_Inv 60.pdf.jpg,3306,4672,Seller details,207,267,1071,697
0_Inv 60.pdf.jpg,3306,4672,Buyer details,202,715,1401,1123
0_Inv 60.pdf.jpg,3306,4672,Invoice number,1503,272,1757,400
0_Inv 60.pdf.jpg,3306,4672,Invoice date,2152,272,2465,395
0_Inv 60.pdf.jpg,3306,4672,Invoice table,178,1528,2814,2690
0_Inv 60.pdf.jpg,3306,4672,Invoice column,201,1539,273,2677
0_Inv 60.pdf.jpg,3306,4672,Invoice column,273,1531,1352,2679
0_Inv 60.pdf.jpg,3306,4672,Invoice column,1355,1544,1652,2679
0_Inv 60.pdf.jpg,3306,4672,Invoice column,1647,1541,1944,2682
0_Inv 60.pdf.jpg,3306,4672,Invoice column,1942,1538,2239,2685
0_Inv 60.pdf.jpg,3306,4672,Invoice column,2239,1546,2362,2682
0_Inv 60.pdf.jpg,3306,4672,Invoice column,2357,1541,2798,2685
0_Inv 61.pdf.jpg,3306,4672,Seller details,204,274,1085,703
0_Inv 61.pdf.jpg,3306,4672,Buyer details,199,718,1385,1128
0_Inv 61.pdf.jpg,3306,4672,Invoice number,1503,274,1752,387
0_Inv 61.pdf.jpg,3306,4672,Invoice date,2147,272,2473,390
0_Inv 61.pdf.jpg,3306,4672,Invoice table,180,1526,2816,2567
0_Inv 61.pdf.jpg,3306,4672,Invoice column,194,1536,283,2556
0_Inv 61.pdf.jpg,3306,4672,Invoice column,275,1538,1355,2559
0_Inv 61.pdf.jpg,3306,4672,Invoice column,1352,1538,1652,2559
0_Inv 61.pdf.jpg,3306,4672,Invoice column,1655,1544,1942,2554
0_Inv 61.pdf.jpg,3306,4672,Invoice column,1950,1546,2232,2556
0_Inv 61.pdf.jpg,3306,4672,Invoice column,2234,1536,2367,2551
0_Inv 61.pdf.jpg,3306,4672,Invoice column,2373,1544,2802,2554
0_Inv 61.pdf.jpg,3306,4672,Footer notes,194,2572,1663,2723
0_Inv 61.pdf.jpg,3306,4672,Tax table,180,2710,2814,3041
0_Inv 61.pdf.jpg,3306,4672,Tax column,197,2723,1058,3028
0_Inv 61.pdf.jpg,3306,4672,Tax column,1065,2723,1389,3023
0_Inv 61.pdf.jpg,3306,4672,Tax column,1396,2803,1602,3026
0_Inv 61.pdf.jpg,3306,4672,Tax column,1603,2810,1917,3028
0_Inv 61.pdf.jpg,3306,4672,Tax column,1930,2800,2120,3023
0_Inv 61.pdf.jpg,3306,4672,Tax column,2119,2808,2457,3031
0_Inv 61.pdf.jpg,3306,4672,Tax column,2457,2723,2801,3026
0_Inv 61.pdf.jpg,3306,4672,Footer notes,202,3067,2438,3149
0_Inv 61.pdf.jpg,3306,4672,Footer notes,207,3172,1289,3779
0_Inv No. 62.pdf.jpg,3306,4672,Seller details,199,257,1085,696
0_Inv No. 62.pdf.jpg,3306,4672,Invoice number,1504,263,1760,399
0_Inv No. 62.pdf.jpg,3306,4672,Invoice date,2140,268,2468,391
0_Inv No. 62.pdf.jpg,3306,4672,Buyer details,201,710,1390,1116
0_Inv No. 62.pdf.jpg,3306,4672,Invoice table,175,1531,2806,2692
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,196,1538,268,2671
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,276,1538,1349,2685
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,1357,1538,1657,2671
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,1660,1538,1949,2680
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,1951,1546,2235,2671
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,2240,1538,2360,2671
0_Inv No. 62.pdf.jpg,3306,4672,Invoice column,2365,1541,2793,2674
0_Inv No. 63.pdf.jpg,3306,4672,Seller details,196,255,1085,696
0_Inv No. 63.pdf.jpg,3306,4672,Buyer details,193,718,1385,1127
0_Inv No. 63.pdf.jpg,3306,4672,Invoice number,1499,272,1757,396
0_Inv No. 63.pdf.jpg,3306,4672,Invoice date,2147,274,2474,396
0_Inv No. 63.pdf.jpg,3306,4672,Invoice table,179,1526,2811,2577
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,199,1552,282,2546
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,273,1538,1349,2554
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,1351,1543,1646,2552
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,1654,1541,1935,2552
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,1939,1543,2229,2556
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,2232,1546,2365,2559
0_Inv No. 63.pdf.jpg,3306,4672,Invoice column,2365,1549,2793,2557
0_Inv No. 63.pdf.jpg,3306,4672,Footer notes,190,2563,1926,2721
0_Inv No. 63.pdf.jpg,3306,4672,Tax table,183,2713,2814,3038
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,193,2721,1057,3024
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,1065,2727,1390,3024
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,1399,2805,1603,3026
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,1607,2807,1929,3028
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,1935,2807,2129,3026
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,2137,2807,2457,3023
0_Inv No. 63.pdf.jpg,3306,4672,Tax column,2462,2727,2798,3028
0_Inv No. 63.pdf.jpg,3306,4672,Footer notes,210,3066,2435,3146
0_Inv No. 63.pdf.jpg,3306,4672,Footer notes,204,3177,1301,3788
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Seller details,370,447,2809,837
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Buyer details,349,872,1247,1091
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice number,2240,881,2779,952
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice date,2230,955,2938,1042
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice table,341,1259,3070,3112
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice column,363,1273,679,3100
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice column,692,1281,1576,3095
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice column,1595,1278,1795,3092
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice column,1803,1278,2244,3103
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice column,2241,1284,2684,3100
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Invoice column,2682,1292,3046,3097
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Footer notes,387,3657,2222,3865
0_Invoice No. 2 - AAJM.pdf.jpg,3400,4400,Footer notes,2278,3101,3042,3856
0_Invoice.pdf.jpg,3306,4678,Seller details,785,275,1671,706
0_Invoice.pdf.jpg,3306,4678,Buyer details,282,678,1537,1003
0_Invoice.pdf.jpg,3306,4678,Invoice number,1754,236,2021,369
0_Invoice.pdf.jpg,3306,4678,Invoice date,2400,257,2704,406
0_Invoice.pdf.jpg,3306,4678,Invoice table,257,1389,3037,2815
0_Invoice.pdf.jpg,3306,4678,Invoice column,274,1408,362,2722
0_Invoice.pdf.jpg,3306,4678,Invoice column,365,1403,1410,2758
0_Invoice.pdf.jpg,3306,4678,Invoice column,1424,1408,1671,2789
0_Invoice.pdf.jpg,3306,4678,Invoice column,1682,1403,1935,2797
0_Invoice.pdf.jpg,3306,4678,Invoice column,1937,1417,2185,2797
0_Invoice.pdf.jpg,3306,4678,Invoice column,2196,1417,2304,2803
0_Invoice.pdf.jpg,3306,4678,Invoice column,2307,1419,2482,2803
0_Invoice.pdf.jpg,3306,4678,Invoice column,2485,1417,2640,2806
0_Invoice.pdf.jpg,3306,4678,Invoice column,2643,1414,3016,2794
0_Invoice.pdf.jpg,3306,4678,Footer notes,251,2733,1268,2894
0_Invoice.pdf.jpg,3306,4678,Tax table,252,2867,3044,3205
0_Invoice.pdf.jpg,3306,4678,Tax column,260,2875,1526,3161
0_Invoice.pdf.jpg,3306,4678,Tax column,1532,2883,1799,3172
0_Invoice.pdf.jpg,3306,4678,Tax column,1810,2947,1971,3181
0_Invoice.pdf.jpg,3306,4678,Tax column,1985,2961,2260,3181
0_Invoice.pdf.jpg,3306,4678,Tax column,2265,2967,2440,3172
0_Invoice.pdf.jpg,3306,4678,Tax column,2451,2967,2726,3181
0_Invoice.pdf.jpg,3306,4678,Tax column,2732,2919,3024,3186
